Date,Price,Open,High,Low,Vol.,Change %
"Aug 06, 2017",307.22,253.87,319.78,251.00,4.93M,21.01%
"Jul 30, 2017",253.87,206.76,259.90,188.12,4.21M,22.78%
"Jul 23, 2017",206.76,232.01,236.57,176.95,4.31M,-10.88%
"Jul 16, 2017",232.01,170.15,258.00,136.12,11.92M,36.36%
"Jul 09, 2017",170.15,245.23,249.00,169.00,6.37M,-30.62%
"Jul 02, 2017",245.23,255.00,285.91,226.68,2.79M,-3.83%
"Jun 25, 2017",255.00,296.89,318.27,204.11,5.59M,-14.11%
"Jun 18, 2017",296.89,364.56,377.46,287.11,2.10M,-18.56%
"Jun 11, 2017",364.56,325.88,412.21,265.00,4.43M,11.87%
"Jun 04, 2017",325.88,217.01,341.94,216.10,2.23M,50.17%
"May 28, 2017",217.01,149.99,230.55,149.66,3.16M,44.68%
"May 21, 2017",149.99,123.03,206.06,110.42,6.35M,21.91%
"May 14, 2017",123.03,89.90,129.25,83.77,2.71M,36.85%
"May 07, 2017",89.90,96.65,98.00,77.76,2.07M,-6.98%
"Apr 30, 2017",96.65,73.55,101.70,66.00,4.26M,31.41%
"Apr 23, 2017",73.55,52.15,77.60,51.75,2.98M,41.04%
"Apr 16, 2017",52.15,49.71,53.00,45.00,1.97M,4.91%
"Apr 09, 2017",49.71,44.51,51.51,43.01,2.29M,11.68%
"Apr 02, 2017",44.51,50.59,51.59,41.05,4.57M,-12.02%
"Mar 26, 2017",50.59,50.75,54.30,46.55,3.54M,-0.32%
"Mar 19, 2017",50.75,34.20,58.99,34.10,6.82M,48.39%
"Mar 12, 2017",34.20,21.30,51.88,21.05,13.20M,60.56%
"Mar 05, 2017",21.30,18.50,21.45,16.25,3.10M,15.14%
"Feb 26, 2017",18.50,13.55,20.73,13.30,3.93M,36.53%
"Feb 19, 2017",13.55,12.79,13.80,12.25,904.54K,5.94%
"Feb 12, 2017",12.79,11.33,13.40,11.05,1.28M,12.89%
"Feb 05, 2017",11.33,11.32,11.60,10.41,732.95K,0.09%
"Jan 29, 2017",11.32,10.49,11.40,10.38,919.47K,7.71%
"Jan 22, 2017",10.51,10.91,10.98,10.34,574.98K,-4.02%
"Jan 15, 2017",10.95,9.67,11.09,9.53,609.65K,13.24%
"Jan 08, 2017",9.67,9.80,10.84,9.08,716.75K,-1.73%
"Jan 01, 2017",9.84,8.17,11.70,8.03,8.38M,23.00%
"Dec 25, 2016",8.00,7.25,8.60,7.05,861.95K,10.34%
"Dec 18, 2016",7.25,7.88,7.96,7.11,469.44K,-6.21%
"Dec 11, 2016",7.73,8.14,8.63,7.47,489.40K,-4.80%
"Dec 04, 2016",8.12,7.85,8.84,5.86,1.32M,2.65%
"Nov 27, 2016",7.91,9.33,9.33,7.10,1.20M,-15.22%
"Nov 20, 2016",9.33,9.68,10.26,8.70,361.91K,-4.11%
"Nov 13, 2016",9.73,10.01,10.50,9.46,441.48K,-2.80%
"Nov 06, 2016",10.01,11.15,11.27,9.70,327.51K,-10.38%
"Oct 30, 2016",11.17,10.38,11.53,10.31,619.35K,7.61%
"Oct 23, 2016",10.38,12.25,12.26,9.50,851.64K,-15.54%
"Oct 16, 2016",12.29,12.01,12.91,11.81,603.90K,2.33%
"Oct 09, 2016",12.01,12.26,12.56,11.60,846.39K,-2.04%
"Oct 02, 2016",12.26,13.18,13.50,12.00,477.28K,-6.98%
"Sep 25, 2016",13.18,12.86,13.49,12.77,378.16K,2.49%
"Sep 18, 2016",12.86,12.73,15.40,12.26,1.34M,0.47%
"Sep 11, 2016",12.80,12.13,12.87,11.60,1.37M,5.52%
"Sep 04, 2016",12.13,11.88,12.18,11.26,560.81K,1.00%
"Aug 28, 2016",12.01,11.11,12.60,10.78,410.28K,7.23%
"Aug 21, 2016",11.20,11.26,11.42,10.90,354.94K,-0.53%
"Aug 14, 2016",11.26,11.48,11.67,10.61,1.34M,-1.92%
"Aug 07, 2016",11.48,10.16,12.33,10.16,1.12M,12.99%
"Jul 31, 2016",10.16,12.45,12.55,9.90,1.62M,-18.85%
"Jul 24, 2016",12.52,14.33,14.44,11.78,4.79M,-12.14%
"Jul 17, 2016",14.25,11.72,15.15,11.01,5.90M,21.59%
"Jul 10, 2016",11.72,10.83,12.55,10.20,1.72M,7.52%
"Jul 03, 2016",10.90,12.06,12.11,9.35,3.05M,-10.21%
"Jun 26, 2016",12.14,14.22,14.40,11.51,2.27M,-15.16%
"Jun 19, 2016",14.31,10.76,15.90,10.51,6.07M,25.42%
"Jun 12, 2016",11.41,14.30,21.69,10.13,11.77M,-19.36%
"Jun 05, 2016",14.15,13.75,14.89,13.56,1.01M,2.46%
"May 29, 2016",13.81,11.80,14.30,11.78,1.88M,15.28%
